seq,event,receivedAtMs,gapMs
537,tick,537365.640,1002.760
538,tick,538367.190,1001.551
539,tick,539369.170,1001.979
540,tick,540369.032,999.862
541,tick,541371.600,1002.569
542,tick,542372.928,1001.328
543,tick,543375.134,1002.206
544,tick,544376.931,1001.796
545,tick,545379.239,1002.308
546,tick,546381.481,1002.243
547,tick,547383.462,1001.981
548,tick,548385.336,1001.874
549,tick,549386.511,1001.175
550,tick,550388.623,1002.111
551,tick,551390.406,1001.784
552,tick,552393.019,1002.613
553,tick,553395.861,1002.842
554,tick,554397.632,1001.771
555,tick,555398.334,1000.702
556,tick,556400.456,1002.122
557,tick,557402.134,1001.679
558,tick,558404.377,1002.242
559,tick,559406.294,1001.918
560,tick,560408.186,1001.892
561,tick,561409.981,1001.795
562,tick,562412.687,1002.706
563,tick,563414.845,1002.158
564,tick,564417.978,1003.133
565,tick,565419.744,1001.766
566,tick,566420.002,1000.258
567,tick,567421.712,1001.710
568,tick,568424.273,1002.561
569,tick,569426.912,1002.639
570,tick,570428.557,1001.644
571,tick,571430.276,1001.720
572,tick,572432.271,1001.995
573,tick,573433.257,1000.986
574,tick,574434.922,1001.665
575,tick,575436.366,1001.444
576,tick,576437.069,1000.703
577,tick,577438.530,1001.461
578,tick,578440.528,1001.998
579,tick,579442.311,1001.783
580,tick,580444.207,1001.896
581,tick,581446.957,1002.750
582,tick,582447.267,1000.310
583,tick,583449.078,1001.810
584,tick,584451.457,1002.380
585,tick,585454.050,1002.592
586,tick,586455.275,1001.225
587,tick,587457.872,1002.597
588,tick,588459.368,1001.497
589,tick,589460.463,1001.094
590,tick,590461.687,1001.224
591,tick,591461.942,1000.256
592,tick,592464.216,1002.274
593,tick,593465.614,1001.398
594,tick,594465.958,1000.344
595,tick,595466.653,1000.695
596,tick,596468.560,1001.907
597,tick,597470.488,1001.928
598,tick,598470.806,1000.318
599,tick,599472.471,1001.665
600,tick,600474.445,1001.974
