seq,event,receivedAtMs,gapMs
560,tick,560408.656,1001.957
561,tick,561410.592,1001.936
562,tick,562413.217,1002.625
563,tick,563415.459,1002.242
564,tick,564418.454,1002.994
565,tick,565420.351,1001.897
566,tick,566420.473,1000.122
567,tick,567422.398,1001.925
568,tick,568424.675,1002.277
569,tick,569427.383,1002.708
570,tick,570429.014,1001.631
571,tick,571430.850,1001.836
572,tick,572432.776,1001.926
573,tick,573433.742,1000.966
574,tick,574435.391,1001.649
575,tick,575436.926,1001.535
576,tick,576437.525,1000.600
577,tick,577438.968,1001.443
578,tick,578440.984,1002.016
579,tick,579442.802,1001.818
580,tick,580444.752,1001.949
581,tick,581447.425,1002.673
582,tick,582447.690,1000.265
583,tick,583449.564,1001.874
584,tick,584452.065,1002.501
585,tick,585454.353,1002.288
586,tick,586455.803,1001.450
587,tick,587458.331,1002.528
588,tick,588459.834,1001.503
589,tick,589460.987,1001.153
590,tick,590462.277,1001.290
591,tick,591462.523,1000.246
592,tick,592464.799,1002.275
593,tick,593466.027,1001.228
594,tick,594466.350,1000.322
595,tick,595467.093,1000.744
596,tick,596468.990,1001.897
597,tick,597471.026,1002.036
598,tick,598471.233,1000.207
599,tick,599472.937,1001.704
600,tick,600475.043,1002.106
